glyph_name,ps_name,sort_final
bullet,bullet,1002
ellipsis,ellipsis,1003
hyphenationpoint,uni2027,1004
lineseparator,uni2028,1005
paragraphseparator,uni2029,1006
perthousand,perthousand,1007
guilsinglleft,guilsinglleft,1008
guilsinglright,guilsinglright,1009
wj,uni2060,1010
zerosuperior,uni2070,1011
foursuperior,uni2074,1012
fivesuperior,uni2075,1013
sixsuperior,uni2076,1014
sevensuperior,uni2077,1015
eightsuperior,uni2078,1016
ninesuperior,uni2079,1017
euro,Euro,1018
trademark,trademark,1019
Ohm,Omega,1020
partialdiff,partialdiff,1021
Delta,Delta,1022
product,product,1023
summation,summation,1024
minus,minus,1025
divisionslash,uni2215,1026
bulletoperator,uni2219,1027
radical,radical,1028
infinity,infinity,1029
integral,integral,1030
approxequal,approxequal,1031
notequal,notequal,1032
lessequal,lessequal,1033
greaterequal,greaterequal,1034
openbox,uni2423,1035
lozenge,lozenge,1036
fi,uniFB01,1037
fl,uniFB02,1038
VS1,uniFE00,1039
VS2,uniFE01,1040
VS3,uniFE02,1041
VS4,uniFE03,1042
VS5,uniFE04,1043
VS6,uniFE05,1044
VS7,uniFE06,1045
VS8,uniFE07,1046
VS9,uniFE08,1047
VS10,uniFE09,1048
VS11,uniFE0A,1049
VS12,uniFE0B,1050
VS13,uniFE0C,1051
VS14,uniFE0D,1052
VS15,uniFE0E,1053
VS16,uniFE0F,1054
zwnbsp,uniFEFF,1055
objectReplacementCharacter,uniFFFC,1056
replacementCharacter,uniFFFD,1057
DevAaCndrbndRaAi,DevAaCndrbndRaAi,1058
DevNgAaCndrbndRaAi.001,DevNgAaCndrbndRaAi.001,1059
GlobalMask,GlobalMask,1060
BarTop,BarTop,1061
BarTopShort,BarTopShort,1062
BarVertical,BarVertical,1063
BarVertical560,BarVertical560,1064
BarVertical400,BarVertical400,1065
BarH670,BarH670,1066
BarClubLeft,BarClubLeft,1067
LoopRightOpen,LoopRightOpen,1068
LoopLeftClosed,LoopLeftClosed,1069
LoopRtAngle,LoopRtAngle,1070
DogLeg,DogLeg,1071
DogLegShort,DogLegShort,1072
Dda.Comp,Dda.Comp,1073
DotLarge,DotLarge,1074
Dot200,Dot200,1075
Dot240,Dot240,1076
Flame,Flame,1077
Candra,Candra,1078
ThreeTail,ThreeTail,1079
VowelI.comp,VowelI.comp,1080
NineTail,NineTail,1081
Sha.comp,Sha.comp,1082
Dda.small,Dda.small,1083
HookLeft,HookLeft,1084
LaCurves,LaCurves,1085
.Scratch,Scratch,1086
FractionBar,FractionBar,1087
_BarTopShortExt,_BarTopShortExt,1088
